threshold,min_len,precision,recall,f1,alarms
0.1,1,0.12068751294263823,1.0,0.21538120403562586,24145
0.1,2,0.12233417296389588,1.0,0.2179995511333882,23820
0.1,3,0.124,1.0,0.2206405693950178,23500
0.1,4,0.12569013112491373,1.0,0.22331213119779295,23184
0.1,5,0.12742140014867287,1.0,0.22604041422642826,22869
0.12,1,0.12148753439506378,1.0,0.2166542750929368,23986
0.12,2,0.12391563191018881,1.0,0.22050699962164208,23516
0.12,3,0.1263605220935779,1.0,0.22436958614051972,23061
0.12,4,0.12883544079936335,1.0,0.2282625724580918,22618
0.12,5,0.1313973936961717,1.0,0.23227452074449007,22177
0.14,1,0.1226010101010101,0.9996568291008923,0.21841493589262953,23760
0.14,2,0.12605514912774338,0.9993136582017845,0.22387084374399385,23101
0.14,3,0.1295101659474129,0.9989704873026767,0.2292938442755307,22477
0.14,4,0.13305898491083676,0.9986273164035689,0.23482892188508717,21870
0.14,5,0.13675896760848102,0.9982841455044612,0.2405623320239818,21271
0.16,1,0.12365751156768688,0.9996568291008923,0.22008990971251557,23557
0.16,2,0.12808445128656257,0.9993136582017845,0.22706538266599088,22735
0.16,3,0.13255316242429763,0.9989704873026767,0.2340502512562814,21961
0.16,4,0.1371864982085612,0.9986273164035689,0.24123352399900522,21212
0.16,5,0.14208958139989253,0.9982841455044612,0.24877068456834994,20473
0.18,1,0.1248499914280816,0.9996568291008923,0.2219766821610912,23332
0.18,2,0.1303549845561574,0.9993136582017845,0.2306260642299925,22339
0.18,3,0.13595180272744256,0.9989704873026767,0.23933240154567129,21412
0.18,4,0.14182668876108784,0.9986273164035689,0.24837828610447252,20518
0.18,5,0.14808592954591732,0.9982841455044612,0.2579129355439312,19644
0.2,1,0.12620306945287435,0.9989704873026767,0.22409545804464973,23066
0.2,2,0.13286425732169782,0.9979409746053535,0.23450667311801943,21887
0.2,3,0.13962989665945685,0.9969114619080301,0.24495130486108183,20805
0.2,4,0.1468474850723611,0.9958819492107069,0.2559534309402011,19762
0.2,5,0.15459684300341298,0.9948524365133836,0.26760823409951073,18752
0.22,1,0.12766983904214727,0.9989704873026767,0.22640482208827534,22801
0.22,2,0.1356596379921627,0.9979409746053535,0.2388501026694045,21436
0.22,3,0.14382612139815823,0.9969114619080301,0.2513845621322257,20198
0.22,4,0.1526404376183463,0.9958819492107069,0.2647085651737663,19012
0.22,5,0.1620820753662082,0.9948524365133836,0.27875,17886
0.24,1,0.1293892790470264,0.9989704873026767,0.22910436014481347,22498
0.24,2,0.13880668257756562,0.9979409746053535,0.24371438149513913,20950
0.24,3,0.1484642510349057,0.9969114619080301,0.2584404608335928,19567
0.24,4,0.15898756368816086,0.9958819492107069,0.2742004062928143,18253
0.24,5,0.1703991065655675,0.9948524365133836,0.2909620113413961,17013
0.26,1,0.13103230748434191,0.9979409746053535,0.23164854423069264,22193
0.26,2,0.14180307842658196,0.9958819492107069,0.24825698276230806,20465
0.26,3,0.152863552388493,0.9938229238160604,0.2649709501807036,18945
0.26,4,0.16493550964501769,0.9917638984214139,0.28283421413192406,17522
0.26,5,0.17807965421426367,0.9897048730267674,0.30184729708514313,16195
0.28,1,0.13306174760836728,0.9975978037062457,0.23480473324986875,21847
0.28,2,0.14556771408493124,0.9951956074124915,0.2539849360658609,19922
0.28,3,0.15831235635328883,0.9927934111187371,0.27307910137813857,18274
0.28,4,0.17238083860948514,0.9903912148249828,0.29365079365079366,16742
0.28,5,0.18798955613577023,0.9883321894303363,0.315893385982231,15320
0.3,1,0.13522319973932878,0.9969114619080301,0.23814403410255358,21483
0.3,2,0.1494632535094963,0.9938229238160604,0.2598474652310453,19376
0.3,3,0.16393163363806712,0.9907343857240906,0.28131546894031667,17611
0.3,4,0.17993122850890902,0.9876458476321208,0.3044053096409117,15995
0.3,5,0.19768563162970107,0.9849004804392587,0.32927948600275353,14518
0.32,1,0.1373912220961029,0.9969114619080301,0.24149970903649515,21144
0.32,2,0.15335733954670622,0.9938229238160604,0.26571245068354893,18884
0.32,3,0.1696040418282223,0.9907343857240906,0.28962680577849115,17022
0.32,4,0.18769973260288267,0.9876458476321208,0.31544911492300104,15333
0.32,5,0.2076399942121256,0.9849004804392587,0.3429732313575526,13822
0.34,1,0.13975694444444445,0.9945092656142759,0.2450739957716702,20736
