ResidualScore,Risk
0.46342573,0.31938878
0.43655,0.29614422
0.44217333,0.30100778
0.72589666,0.5463972
0.23976281,0.12594499
0.5718004,0.41312093
0.4360195,0.2956854
0.4165601,0.27885517
0.3539845,0.22473417
0.6434925,0.47512668
0.9027109,0.69932204
0.5270316,0.37440085
0.37312013,0.24128437
0.3950482,0.26024973
0.44788775,0.30595013
0.55067295,0.39484802
0.3583583,0.22851701
0.31145936,0.1879546
0.5925905,0.43110207
0.6493385,0.4801828
0.31191367,0.18834753
0.61668205,0.45193857
0.7472593,0.5648735
0.8547869,0.65787303
0.426719,0.2876415
0.61734676,0.4525135
0.3860999,0.25251046
0.4577263,0.31445938
0.43718043,0.29668948
0.15912923,0.05620582
0.95014447,0.74034685
0.6895101,0.51492685
0.6086045,0.44495237
0.4617955,0.3179788
0.97586,0.76258796
0.36398974,0.23338759
0.4727071,0.32741612
0.3398369,0.21249804
0.32543138,0.20003887
0.68387616,0.51005405
0.29033193,0.1696817
0.25447616,0.13867041
0.85585344,0.6587955
0.40188608,0.26616374
0.2799709,0.16072057
0.22372106,0.112070635
0.22130454,0.10998061
0.4364428,0.2960515
0.96942484,0.75702226
0.33757186,0.21053904
0.49852508,0.34974584
0.62858754,0.4622355
0.3705619,0.23907179
0.93851167,0.73028576
0.67390525,0.50143033
0.6740471,0.50155306
0.470292,0.32532734
0.4190302,0.28099152
0.7068349,0.52991086
0.40277034,0.26692855
0.35372567,0.22451031
0.7262796,0.5467284
0.5027094,0.3533648
0.5355105,0.38173413
0.7024295,0.52610064
0.58764064,0.426821
1.206331,0.96191996
0.4848528,0.3379208
0.3035442,0.18110886
0.2738002,0.15538357
0.4313222,0.29162276
0.84034365,0.6453812
1.064018,0.8388349
0.9870118,0.772233
0.24025111,0.1263673
0.4613335,0.31757924
0.5787935,0.41916922
0.4597664,0.31622383
0.5964869,0.43447202
0.7581676,0.57430804
0.74064934,0.55915666
0.4636529,0.31958526
0.55447304,0.39813468
0.25527614,0.1393623
0.4632371,0.31922564
