threshold,min_len,f1,precision,recall
0.8,1,0.7391304347826086,0.8095238095238095,0.68
0.75,1,0.7083333333333334,0.7391304347826086,0.68
0.7,1,0.6938775510204082,0.7083333333333334,0.68
0.6000000000000001,1,0.6923076923076923,0.6666666666666666,0.72
0.65,1,0.68,0.68,0.68
0.55,1,0.6666666666666666,0.6206896551724138,0.72
0.5,1,0.6545454545454545,0.6,0.72
0.45,1,0.631578947368421,0.5625,0.72
0.4,1,0.6101694915254238,0.5294117647058824,0.72
0.35,1,0.6,0.5142857142857142,0.72
0.3,1,0.5714285714285714,0.47368421052631576,0.72
0.3,2,0.14285714285714285,0.6666666666666666,0.08
0.65,2,0.07407407407407407,0.5,0.04
0.7,2,0.07407407407407407,0.5,0.04
0.8,2,0.07407407407407407,0.5,0.04
0.75,2,0.07407407407407407,0.5,0.04
0.55,2,0.07407407407407407,0.5,0.04
0.6000000000000001,2,0.07407407407407407,0.5,0.04
0.35,2,0.07407407407407407,0.5,0.04
0.4,2,0.07407407407407407,0.5,0.04
0.5,2,0.07407407407407407,0.5,0.04
0.45,2,0.07407407407407407,0.5,0.04
0.4,4,0.0,0.0,0.0
0.4,3,0.0,0.0,0.0
0.3,3,0.0,0.0,0.0
0.3,4,0.0,0.0,0.0
0.35,3,0.0,0.0,0.0
0.35,4,0.0,0.0,0.0
0.6000000000000001,4,0.0,0.0,0.0
0.6000000000000001,3,0.0,0.0,0.0
0.55,3,0.0,0.0,0.0
0.55,4,0.0,0.0,0.0
0.45,4,0.0,0.0,0.0
0.45,3,0.0,0.0,0.0
0.5,3,0.0,0.0,0.0
0.5,4,0.0,0.0,0.0
0.7,4,0.0,0.0,0.0
0.7,3,0.0,0.0,0.0
0.65,3,0.0,0.0,0.0
0.65,4,0.0,0.0,0.0
0.75,4,0.0,0.0,0.0
0.75,3,0.0,0.0,0.0
0.8,3,0.0,0.0,0.0
0.8,4,0.0,0.0,0.0
